GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
RoR_itahue	2030	4100000.0	66000.0
RoR_itahue	2034	4100000.0	66000.0
PV_itahue	2018	1134870.0	17023.05
PV_itahue	2022	996120.0	14941.8
PV_itahue	2026	879960.0	13199.4
PV_itahue	2030	783000.0	11745.0
PV_itahue	2034	705240.0	10578.6
RoR_ancoa	2018	4100000.0	66000.0
RoR_ancoa	2022	4100000.0	66000.0
RoR_ancoa	2026	4100000.0	66000.0
RoR_ancoa	2030	4100000.0	66000.0
RoR_ancoa	2034	4100000.0	66000.0
Wind_hualpen	2018	1775610.0	35512.2
Wind_hualpen	2022	1717290.0	34345.8
Wind_hualpen	2026	1670490.0	33409.8
Wind_hualpen	2030	1635210.0	32704.2
Wind_hualpen	2034	1611450.0	32229.0
RoR_charrua	2018	4100000.0	66000.0
RoR_charrua	2022	4100000.0	66000.0
RoR_charrua	2026	4100000.0	66000.0
RoR_charrua	2030	4100000.0	66000.0
RoR_charrua	2034	4100000.0	66000.0
Wind_charrua	2018	1775610.0	35512.2
Wind_charrua	2022	1717290.0	34345.8
Wind_charrua	2026	1670490.0	33409.8
Wind_charrua	2030	1635210.0	32704.2
Wind_charrua	2034	1611450.0	32229.0
RoR_temuco	2018	4100000.0	66000.0
RoR_temuco	2022	4100000.0	66000.0
RoR_temuco	2026	4100000.0	66000.0
RoR_temuco	2030	4100000.0	66000.0
RoR_temuco	2034	4100000.0	66000.0
RoR_puerto_montt	2018	4100000.0	66000.0
RoR_puerto_montt	2022	4100000.0	66000.0
RoR_puerto_montt	2026	4100000.0	66000.0
RoR_puerto_montt	2030	4100000.0	66000.0
RoR_puerto_montt	2034	4100000.0	66000.0
Wind_puerto_montt	2018	1775610.0	35512.2
Wind_puerto_montt	2022	1717290.0	34345.8
Wind_puerto_montt	2026	1670490.0	33409.8
Wind_puerto_montt	2030	1635210.0	32704.2
Wind_puerto_montt	2034	1611450.0	32229.0
wind_lagunas_e	2018	1775610.0	35512.2
wind_lagunas_e	2022	1717290.0	34345.8
wind_lagunas_e	2026	1670490.0	33409.8
wind_lagunas_e	2030	1635210.0	32704.2
wind_lagunas_e	2034	1611450.0	32229.0
CCGT_400_lagunas_e	2018	1141000.0	14000.0
CCGT_400_lagunas_e	2022	1141000.0	14000.0
CCGT_400_lagunas_e	2026	1141000.0	14000.0
CCGT_400_lagunas_e	2030	1141000.0	14000.0
CCGT_400_lagunas_e	2034	1141000.0	14000.0
CCGT_300_lagunas_e	2018	1165000.0	14400.0
CCGT_300_lagunas_e	2022	1165000.0	14400.0
CCGT_300_lagunas_e	2026	1165000.0	14400.0
CCGT_300_lagunas_e	2030	1165000.0	14400.0
CCGT_300_lagunas_e	2034	1165000.0	14400.0
CST_300_lagunas_e	2018	3000000.0	60000.0
CST_300_lagunas_e	2022	3000000.0	60000.0
CST_300_lagunas_e	2026	3000000.0	60000.0
CST_300_lagunas_e	2030	3000000.0	60000.0
CST_300_lagunas_e	2034	3000000.0	60000.0
CST_300_lagunas_e1	2018	3000000.0	60000.0
CST_300_lagunas_e1	2022	3000000.0	60000.0
CST_300_lagunas_e1	2026	3000000.0	60000.0
CST_300_lagunas_e1	2030	3000000.0	60000.0
CST_300_lagunas_e1	2034	3000000.0	60000.0
CST_300_lagunas_e2	2018	3000000.0	60000.0
CST_300_lagunas_e2	2022	3000000.0	60000.0
CST_300_lagunas_e2	2026	3000000.0	60000.0
CST_300_lagunas_e2	2030	3000000.0	60000.0
CST_300_lagunas_e2	2034	3000000.0	60000.0
CST_300_lagunas_e3	2018	3000000.0	60000.0
CST_300_lagunas_e3	2022	3000000.0	60000.0
CST_300_lagunas_e3	2026	3000000.0	60000.0
CST_300_lagunas_e3	2030	3000000.0	60000.0
CST_300_lagunas_e3	2034	3000000.0	60000.0
CST_300_lagunas_e4	2018	3000000.0	60000.0
CST_300_lagunas_e4	2022	3000000.0	60000.0
CST_300_lagunas_e4	2026	3000000.0	60000.0
CST_300_lagunas_e4	2030	3000000.0	60000.0
CST_300_lagunas_e4	2034	3000000.0	60000.0
CST_150_lagunas_e	2018	3060000.0	61200.0
CST_150_lagunas_e	2022	3060000.0	61200.0
CST_150_lagunas_e	2026	3060000.0	61200.0
CST_150_lagunas_e	2030	3060000.0	61200.0
CST_150_lagunas_e	2034	3060000.0	61200.0
DE_lagunas_e	2018	910000.0	18200.0
DE_lagunas_e	2022	910000.0	18200.0
DE_lagunas_e	2026	910000.0	18200.0
DE_lagunas_e	2030	910000.0	18200.0
DE_lagunas_e	2034	910000.0	18200.0
OCGT_300_lagunas_e	2018	800000.0	12000.0
OCGT_300_lagunas_e	2022	800000.0	12000.0
OCGT_300_lagunas_e	2026	800000.0	12000.0
OCGT_300_lagunas_e	2030	800000.0	12000.0
OCGT_300_lagunas_e	2034	800000.0	12000.0
OCGT_300_lagunas_e1	2018	800000.0	12000.0
OCGT_300_lagunas_e1	2022	800000.0	12000.0
OCGT_300_lagunas_e1	2026	800000.0	12000.0
OCGT_300_lagunas_e1	2030	800000.0	12000.0
OCGT_300_lagunas_e1	2034	800000.0	12000.0
CCGT_400_crucero_encuentro_e	2018	1141000.0	14000.0
CCGT_400_crucero_encuentro_e	2022	1141000.0	14000.0
CCGT_400_crucero_encuentro_e	2026	1141000.0	14000.0
CCGT_400_crucero_encuentro_e	2030	1141000.0	14000.0
CCGT_400_crucero_encuentro_e	2034	1141000.0	14000.0
CCGT_300_crucero_encuentro_e	2018	1165000.0	14400.0
CCGT_300_crucero_encuentro_e	2022	1165000.0	14400.0
CCGT_300_crucero_encuentro_e	2026	1165000.0	14400.0
